epoch: 0, train_loss:3.4182, val_accuracy: 0.1006
epoch: 1, train_loss:0.9000, val_accuracy: 0.1024
epoch: 2, train_loss:0.9000, val_accuracy: 0.1010
epoch: 3, train_loss:0.9000, val_accuracy: 0.0949
epoch: 4, train_loss:0.9000, val_accuracy: 0.0990
epoch: 5, train_loss:0.9000, val_accuracy: 0.1013
epoch: 6, train_loss:0.9000, val_accuracy: 0.1033
epoch: 7, train_loss:0.9000, val_accuracy: 0.0980
epoch: 8, train_loss:0.9000, val_accuracy: 0.1010
epoch: 9, train_loss:0.9000, val_accuracy: 0.1020
test_accuracy: 0.1000
