{'Learning_rate': 0.001, 'epochs': 50, 'batch_size': 32, 'layer_size': [784, 128, 64, 10], 'optimizer': 'RMS_Prop', 'beta_1': 0.9, 'beta_2': 0.999}
epoch: 0, train_loss:0.7940, val_accuracy: 0.7474
epoch: 1, train_loss:0.5938, val_accuracy: 0.7924
epoch: 2, train_loss:0.5619, val_accuracy: 0.7858
epoch: 3, train_loss:0.5383, val_accuracy: 0.8087
epoch: 4, train_loss:0.5160, val_accuracy: 0.8114
epoch: 5, train_loss:0.5041, val_accuracy: 0.8106
epoch: 6, train_loss:0.4904, val_accuracy: 0.8121
epoch: 7, train_loss:0.4828, val_accuracy: 0.8137
epoch: 8, train_loss:0.4761, val_accuracy: 0.8276
epoch: 9, train_loss:0.4759, val_accuracy: 0.8232
epoch: 10, train_loss:0.4692, val_accuracy: 0.8284
epoch: 11, train_loss:0.4682, val_accuracy: 0.8216
epoch: 12, train_loss:0.4661, val_accuracy: 0.8317
epoch: 13, train_loss:0.4617, val_accuracy: 0.8303
epoch: 14, train_loss:0.4596, val_accuracy: 0.8351
epoch: 15, train_loss:0.4547, val_accuracy: 0.8357
epoch: 16, train_loss:0.4530, val_accuracy: 0.8338
epoch: 17, train_loss:0.4525, val_accuracy: 0.8313
epoch: 18, train_loss:0.4507, val_accuracy: 0.8308
epoch: 19, train_loss:0.4496, val_accuracy: 0.8271
epoch: 20, train_loss:0.4492, val_accuracy: 0.8351
epoch: 21, train_loss:0.4540, val_accuracy: 0.8352
epoch: 22, train_loss:0.4475, val_accuracy: 0.8344
epoch: 23, train_loss:0.4483, val_accuracy: 0.8383
epoch: 24, train_loss:0.4468, val_accuracy: 0.8367
epoch: 25, train_loss:0.4479, val_accuracy: 0.8397
epoch: 26, train_loss:0.4432, val_accuracy: 0.8367
epoch: 27, train_loss:0.4401, val_accuracy: 0.8417
epoch: 28, train_loss:0.4404, val_accuracy: 0.8400
epoch: 29, train_loss:0.4380, val_accuracy: 0.8453
epoch: 30, train_loss:0.4416, val_accuracy: 0.8396
epoch: 31, train_loss:0.4353, val_accuracy: 0.8345
epoch: 32, train_loss:0.4376, val_accuracy: 0.8399
epoch: 33, train_loss:0.4325, val_accuracy: 0.8385
epoch: 34, train_loss:0.4305, val_accuracy: 0.8426
epoch: 35, train_loss:0.4318, val_accuracy: 0.8452
epoch: 36, train_loss:0.4354, val_accuracy: 0.8384
epoch: 37, train_loss:0.4320, val_accuracy: 0.8392
epoch: 38, train_loss:0.4316, val_accuracy: 0.8443
epoch: 39, train_loss:0.4307, val_accuracy: 0.8357
epoch: 40, train_loss:0.4313, val_accuracy: 0.8390
epoch: 41, train_loss:0.4354, val_accuracy: 0.8439
epoch: 42, train_loss:0.4316, val_accuracy: 0.8442
epoch: 43, train_loss:0.4298, val_accuracy: 0.8478
epoch: 44, train_loss:0.4317, val_accuracy: 0.8465
epoch: 45, train_loss:0.4274, val_accuracy: 0.8461
epoch: 46, train_loss:0.4258, val_accuracy: 0.8451
epoch: 47, train_loss:0.4277, val_accuracy: 0.8478
epoch: 48, train_loss:0.4207, val_accuracy: 0.8447
epoch: 49, train_loss:0.4229, val_accuracy: 0.8467
test_accuracy: 0.8346
