epoch: 0, train_loss:1.0203, val_accuracy: 0.4102
epoch: 1, train_loss:0.8853, val_accuracy: 0.5661
epoch: 2, train_loss:0.7470, val_accuracy: 0.6432
epoch: 3, train_loss:0.6526, val_accuracy: 0.7021
epoch: 4, train_loss:0.5956, val_accuracy: 0.7409
epoch: 5, train_loss:0.5563, val_accuracy: 0.7555
epoch: 6, train_loss:0.5267, val_accuracy: 0.7738
epoch: 7, train_loss:0.5041, val_accuracy: 0.7748
epoch: 8, train_loss:0.4865, val_accuracy: 0.7765
epoch: 9, train_loss:0.4722, val_accuracy: 0.7806
test_accuracy: 0.7697
