epoch: 0, train_loss:8.0461, val_accuracy: 0.0949
epoch: 1, train_loss:2.3042, val_accuracy: 0.0949
epoch: 2, train_loss:2.3026, val_accuracy: 0.0949
epoch: 3, train_loss:2.3026, val_accuracy: 0.0949
epoch: 4, train_loss:2.3026, val_accuracy: 0.0975
epoch: 5, train_loss:2.3026, val_accuracy: 0.0975
epoch: 6, train_loss:2.3026, val_accuracy: 0.1010
epoch: 7, train_loss:2.3026, val_accuracy: 0.0980
epoch: 8, train_loss:2.3026, val_accuracy: 0.0949
epoch: 9, train_loss:2.3026, val_accuracy: 0.1013
test_accuracy: 0.1000
